period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,2,2,12,10.0,1.0,4.0,40.0
1,2,12,4,17,10.0,2.0,4.0,80.0
1,4,17,22,999,10.0,4.5,4.0,180.0
1,6,2,9,12,15.0,3.0,4.0,180.0
1,7,2,8,12,15.0,1.0,4.0,60.0
1,8,12,10,11,2.0,2.0,4.0,16.0
1,8,12,14,11,13.0,2.0,4.0,104.0
1,9,12,10,11,22.0,1.0,4.0,88.0
1,10,11,22,999,24.0,2.5,4.0,240.0
1,11,2,9,12,7.0,4.0,4.0,112.0
1,11,2,13,12,8.0,2.0,4.0,64.0
1,12,2,13,12,14.0,1.0,4.0,56.0
1,13,12,14,11,12.0,1.0,4.0,48.0
1,13,12,15,17,10.0,2.0,4.0,80.0
1,14,11,22,999,25.0,3.5,4.0,350.0
1,15,17,22,999,10.0,2.5,4.0,100.0
1,16,2,17,12,1.0,1.0,4.0,4.0
1,17,12,18,11,1.0,1.0,4.0,4.0
1,18,11,22,999,1.0,5.5,4.0,22.0
1,21,0,1,2,10.0,3.5,4.0,140.0
1,21,0,6,2,15.0,2.5,4.0,150.0
1,21,0,7,2,15.0,3.5,4.0,210.0
1,21,0,11,2,15.0,2.5,4.0,150.0
1,21,0,12,2,14.0,3.5,4.0,196.0
1,21,0,16,2,1.0,3.5,4.0,14.0
2,1,2,2,12,15.0,1.0,4.0,60.0
2,2,12,3,11,22.0,1.0,4.0,88.0
2,3,11,22,999,22.0,5.5,4.0,484.0
2,4,2,9,12,10.0,1.0,4.0,40.0
2,6,2,2,12,6.0,2.0,4.0,48.0
2,6,2,8,12,2.0,2.0,4.0,16.0
2,6,2,9,12,12.0,3.0,4.0,144.0
2,7,2,8,12,20.0,1.0,4.0,80.0
2,8,12,10,17,8.0,2.0,4.0,64.0
2,8,12,14,11,12.0,2.0,4.0,96.0
2,8,12,15,11,2.0,3.0,4.0,24.0
2,9,12,10,17,22.0,1.0,4.0,88.0
2,10,17,22,999,30.0,2.5,4.0,300.0
2,11,2,2,12,1.0,3.0,4.0,12.0
2,11,2,13,12,7.0,2.0,4.0,56.0
2,11,2,17,12,7.0,2.0,4.0,56.0
2,12,2,13,12,15.0,1.0,4.0,60.0
2,13,12,15,11,22.0,2.0,4.0,176.0
2,14,11,22,999,14.0,3.5,4.0,196.0
2,15,11,22,999,24.0,2.5,4.0,240.0
2,16,2,17,12,15.0,1.0,4.0,60.0
2,17,12,14,11,2.0,3.0,4.0,24.0
2,17,12,18,11,20.0,1.0,4.0,80.0
2,18,11,19,8,20.0,1.0,4.0,80.0
2,19,8,22,999,20.0,4.5,4.0,360.0
2,21,0,1,2,15.0,3.5,4.0,210.0
2,21,0,4,2,10.0,6.5,4.0,260.0
2,21,0,6,2,20.0,2.5,4.0,200.0
2,21,0,7,2,20.0,3.5,4.0,280.0
2,21,0,11,2,15.0,2.5,4.0,150.0
2,21,0,12,2,15.0,3.5,4.0,210.0
2,21,0,16,2,15.0,3.5,4.0,210.0
3,1,2,2,12,15.0,1.0,4.0,60.0
3,2,12,3,11,18.0,1.0,4.0,72.0
3,3,11,4,8,18.0,1.0,4.0,72.0
3,4,8,22,999,18.0,4.5,4.0,324.0
3,6,2,8,12,20.0,2.0,4.0,160.0
3,7,2,2,12,3.0,1.0,4.0,12.0
3,7,2,8,12,1.0,1.0,4.0,4.0
3,7,2,9,12,16.0,2.0,4.0,128.0
3,8,12,10,11,22.0,2.0,4.0,176.0
3,9,12,10,11,2.0,1.0,4.0,8.0
3,9,12,15,17,14.0,2.0,4.0,112.0
3,10,11,22,999,24.0,2.5,4.0,240.0
3,11,2,8,12,1.0,3.0,4.0,12.0
3,11,2,13,12,7.0,2.0,4.0,56.0
3,11,2,17,12,7.0,2.0,4.0,56.0
3,12,2,13,12,15.0,1.0,4.0,60.0
3,13,12,14,11,21.0,1.0,4.0,84.0
3,13,12,15,17,1.0,2.0,4.0,8.0
3,14,11,22,999,21.0,3.5,4.0,294.0
3,15,17,22,999,15.0,2.5,4.0,150.0
3,16,2,17,12,15.0,1.0,4.0,60.0
3,17,12,18,11,22.0,1.0,4.0,88.0
3,18,11,19,8,22.0,1.0,4.0,88.0
3,19,8,22,999,22.0,4.5,4.0,396.0
3,21,0,1,2,15.0,3.5,4.0,210.0
3,21,0,6,2,20.0,2.5,4.0,200.0
3,21,0,7,2,20.0,3.5,4.0,280.0
3,21,0,11,2,15.0,2.5,4.0,150.0
3,21,0,12,2,15.0,3.5,4.0,210.0
3,21,0,16,2,15.0,3.5,4.0,210.0
4,1,2,2,12,6.0,1.0,4.0,24.0
4,2,12,3,11,6.0,1.0,4.0,24.0
4,3,11,4,8,19.0,1.0,4.0,76.0
4,4,8,22,999,19.0,4.5,4.0,342.0
4,6,2,9,12,20.0,3.0,4.0,240.0
4,7,2,8,12,20.0,1.0,4.0,80.0
4,8,12,3,11,13.0,1.0,4.0,52.0
4,8,12,10,11,4.0,2.0,4.0,32.0
4,8,12,14,11,3.0,2.0,4.0,24.0
4,9,12,10,11,20.0,1.0,4.0,80.0
4,10,11,22,999,24.0,2.5,4.0,240.0
4,11,2,13,12,7.0,2.0,4.0,56.0
4,11,2,17,12,8.0,2.0,4.0,64.0
4,12,2,13,12,15.0,1.0,4.0,60.0
4,13,12,14,11,22.0,1.0,4.0,88.0
4,14,11,15,8,19.0,1.0,4.0,76.0
4,14,11,22,999,6.0,3.5,4.0,84.0
4,15,8,22,999,24.0,2.5,4.0,240.0
4,16,2,17,12,14.0,1.0,4.0,56.0
4,17,12,18,11,22.0,1.0,4.0,88.0
4,18,11,15,8,5.0,3.0,4.0,60.0
4,18,11,19,8,17.0,1.0,4.0,68.0
4,19,8,22,999,17.0,4.5,4.0,306.0
4,21,0,1,2,6.0,3.5,4.0,84.0
4,21,0,6,2,20.0,2.5,4.0,200.0
4,21,0,7,2,20.0,3.5,4.0,280.0
4,21,0,11,2,15.0,2.5,4.0,150.0
4,21,0,12,2,15.0,3.5,4.0,210.0
4,21,0,16,2,14.0,3.5,4.0,196.0
